"title","abb"
"Total ","Totl"
"Chief Executives, General Managers and Legislators","CEGMaL"
"Farmers and Farm Managers","FaFM"
"Specialist Managers","SpcM"
"Hospitality, Retail and Service Managers","HRaSM"
"Arts and Media Professionals","AaMP"
"Business, Human Resource and Marketing Professionals","BHRaMP"
"Design, Engineering, Science and Transport Professionals","DESaTP"
"Education Professionals","EdcP"
"Health Professionals","HltP"
"ICT Professionals","ICTP"
"Legal, Social and Welfare Professionals","LSaWP"
"Engineering, ICT and Science Technicians","EIaST"
"Automotive and Engineering Trades Workers","AaETW"
"Construction Trades Workers","CnTW"
"Electrotechnology and Telecommunications Trades Workers","EaTTW"
"Food Trades Workers","FdTW"
"Skilled Animal and Horticultural Workers","SAaHW"
"Other Technicians and Trades Workers","OTaTW"
"Health and Welfare Support Workers","HaWSW"
"Carers and Aides","CraA"
"Hospitality Workers","HspW"
"Protective Service Workers","PrSW"
"Sports and Personal Service Workers","SaPSW"
"Office Managers and Program Administrators","OMaPA"
"Personal Assistants and Secretaries","PAaS"
"General Clerical Workers","GnCW"
"Inquiry Clerks and Receptionists","ICaR"
"Numerical Clerks","NmrC"
"Clerical and Office Support Workers","CaOSW"
"Other Clerical and Administrative Workers","OCaAW"
"Sales Representatives and Agents","SRaA"
"Sales Assistants and Salespersons","SAaS"
"Sales Support Workers","SlSW"
"Machine and Stationary Plant Operators","MaSPO"
"Mobile Plant Operators","MbPO"
"Road and Rail Drivers","RaRD"
"Storepersons","Strp"
"Cleaners and Laundry Workers","CaLW"
"Construction and Mining Labourers","CaML"
"Factory Process Workers","FcPW"
"Farm, Forestry and Garden Workers","FFaGW"
"Food Preparation Assistants","FdPA"
"Other Labourers","OthL"
